Year,outside,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,snails_sea_stars,herb_echinoderms,misc_crabs,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton,discards_offal,pelagic_detritus,benthic_detritus
1987,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,859416,0,149903,16342.93309,0,0,0,0,0,0,0,181428,0,0,0,0,0,4904,0,0,1177,0,77,28,99,0,0,0,0,0,0,0,0,0,0,0,1509.7,6550.235821,66950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1228721,0,203071,14869.66507,0,0,0,0,0,0,0,223156,0,0,0,0,0,4006,0,0,1326,0,40,31,111,0,0,0,0,0,0,0,0,0,0,0,3550.1,4510.349729,73650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1229600,0,178323,13277.55585,0,0,0,0,0,0,0,153165,0,0,0,0,0,1516,0,0,2533,0,78,58,204,0,0,0,0,0,0,0,0,0,0,0,11650.1,5360.20573,80230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1455193,0,172067,12756.83181,0,0,0,0,0,0,4432.81504,83970,0,0,0,0,0,2330,0,0,6499,0,247,116,369,0,0,0,0,0,0,0,0,0,0,0,22457.1,10954.50514,165070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1195664,0,210240.65,17025.13602,0,17834.85,0,0,4397.91,0,5374.63232,117303.48,0,55909.54,0,0,0,1209.02,0,0,5098.67,348.12,626,205,106,2486.21,0,0,0,660.77,0,0,0,0,0,0,24021.2,11223.02641,156560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1390550.45,0,164210.21,30866.96078,0,10949.88,0,0,2462.11,0,5266.148373,145381.93,0,52486.43,0,0,0,612.59,0,0,3254.55,214.94,309,79,77,2595.82,0,0,0,855.99,0,0,0,0,0,0,26693,5801.470606,124160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,54.66,0,0,0,0,0,0,0,0,0,1327494.78,0,133186.32,21042.15004,0,7952.92,0,0,6332.49,0,4166.81888,105809.96,0,63945.39,0,0,0,669.09,0,0,3763.8,191.3,859,221,146,200.65,0,0,0,597.72,0,0,0,0,0,0,12834,10494.15869,74910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,53.31,0,0,0,0,0,0,0,0,0,1329907.77,0,172263.01,32635.06384,0,13017.95,0,0,7141.47,0,4743.1568,140049.55,0,59298.08,0,0,0,694.08,0,0,1687.97,132.48,61,46,22,175.13,0,0,0,501.32,0,0,0,0,0,0,7184,2567.432439,40890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,45.75,0,0,0,0,0,0,0,0,0,1264580.68,0,228498.47,29757.47384,0,8282.93,0,0,5855.95,0,4353.563307,124746.36,14698.8,54672.56,0,0,0,929.62,0,0,1207.6,287.78,266,49,28,340.3,0,0,0,364.38,0,0,0,0,0,0,4819,2790.153488,36590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,54.69,0,0,0,0,0,0,0,0,0,1193280.31,0,209067.35,29230.39951,0,13308.83,0,0,4843.96,0,4327.365227,129659.18,17336.39,46557.99,0,0,0,648.4,0,0,2854.61,170.13,87,87,34,784.76,0,0,0,1083.1,0,0,0,0,0,0,2835,6067.784282,62390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
