tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
14,1971,2,1.024242778,1.037560651,0.934427594,0.934427594,0.931835477,0.941299919,0.932934024,0.911368436,0.968036387,0.982335662,0.985525836,1.024141402,1.021470468,0.92272686,0.92217598,0.975940787,0.981276736,1.004515243,0.926503832,1.00661704,0.952098392,0.951322236,0.951322236,0.924534065,0.925296302,1.035380932,1.039197345,0.902835056,0.953811685,0.935622573,0.930799809
15,1971,3,1.038536906,1.05204064,0.924076299,0.924076299,0.922856851,0.932230099,0.923595178,0.893099053,0.958467449,0.980455668,0.985262719,1.034326513,1.031629017,0.907755798,0.911960404,0.977549842,0.982894588,1.010462171,0.916240314,1.013103953,0.942675086,0.940783787,0.940783787,0.914292368,0.916033912,1.045447875,1.049301394,0.884591688,0.9480108,0.92525804,0.922325817
16,1971,4,1.036553436,1.05003138,0.925493873,0.925493873,0.924087843,0.933473594,0.924875161,0.895587241,0.959779103,0.980718287,0.985303798,1.032884445,1.03019071,0.909799168,0.913359392,0.977285593,0.982628894,1.009611294,0.917645867,1.012200521,0.943966764,0.942226991,0.942226991,0.915694932,0.917303416,1.044029342,1.047877633,0.887076117,0.948809147,0.926677427,0.923488155
17,1971,5,1.029246131,1.04262906,0.930767917,0.930767917,0.928663803,0.938096031,0.92963434,0.904882738,0.964655664,0.981680881,0.985442458,1.027650643,1.024970557,0.917420605,0.918564286,0.976423802,0.981762392,1.006546759,0.922875188,1.00888105,0.948769095,0.947596391,0.947596391,0.920913136,0.922023633,1.038862494,1.04269174,0.896358173,0.951768364,0.931958215,0.927807422
18,1971,6,1.008433349,1.021545657,0.946270547,0.946270547,0.942079276,0.951647761,0.943596894,0.93255698,0.97895923,0.984383395,0.98572692,1.013482749,1.010839613,0.939997574,0.933863656,0.97505387,0.980384969,0.998489439,0.938246359,0.999519992,0.962855268,0.963379312,0.963379312,0.936251627,0.935871879,1.024709948,1.028487028,0.923998017,0.960368601,0.947480671,0.940456992
19,1971,7,0.993367897,1.006284314,0.957992807,0.957992807,0.952189229,0.961860399,0.954128749,0.953833266,0.989745049,0.986308756,0.985829361,1.004001958,1.001383548,0.957241474,0.945432221,0.975257899,0.980590114,0.993380855,0.949869217,0.99285697,0.97347748,0.975313513,0.975313513,0.947849775,0.946317511,1.015070892,1.018812442,0.945253554,0.966777888,0.959217922,0.949976876
20,1971,8,0.977271317,0.989978436,0.971059471,0.971059471,0.963425059,0.973210349,0.96584293,0.977910034,1.001738497,0.98834506,0.985841408,0.994720903,0.992126697,0.976637721,0.958327564,0.976865627,0.982206632,0.988741083,0.962825079,0.985880165,0.98528932,0.988616425,0.988616425,0.960778092,0.957935791,1.005454161,1.009160264,0.969312828,0.973831691,0.972301296,0.960544303
21,1971,9,0.96491934,0.977465851,0.981524011,0.981524011,0.972398499,0.98227493,0.975205389,0.9974702,1.011321789,0.989899265,0.985781823,0.988292589,0.985715148,0.992304159,0.968654899,0.979293611,0.984647891,0.985866764,0.973200881,0.98065443,0.994727734,0.999270166,0.999270166,0.971131835,0.967221602,0.998645335,1.002326341,0.988863517,0.97941514,0.982779218,0.968974649
22,1971,10,0.958407731,0.970869573,0.987213465,0.987213465,0.977268198,0.98719409,0.980288743,1.008210314,1.016524182,0.990717891,0.985726259,0.985180969,0.982611643,1.00087148,0.974269757,0.98107035,0.986434345,0.984630962,0.97884209,0.977954206,0.999851563,1.005062487,1.005062487,0.976761051,0.97226334,0.995288257,0.998956889,0.999600267,0.982427314,0.988475948,0.97354626
23,1971,11,0.960325406,0.972812183,0.985524724,0.985524724,0.975823435,0.985734652,0.978780408,1.005014614,1.014980588,0.990476765,0.985744356,0.986076058,0.983504398,0.998324877,0.972603158,0.980508205,0.985869125,0.984973257,0.977167669,0.978745108,0.998331273,1.003343213,1.003343213,0.97509019,0.970767352,0.99625892,0.999931129,0.99640543,0.981534931,0.986785048,0.972190179
